Time [s],Packet ID,MOSI,MISO
0.002113583333333,24,0x50,0x0E
0.002149250000000,24,0x53,0x00
0.002205833333333,25,0x20,0x8E
0.002242250000000,25,0x40,0x00
0.002278916666667,25,0x4B,0x00
0.002315583333333,25,0x01,0x00
0.002352250000000,25,0xE2,0x00
0.002409916666667,26,0x21,0x8E
0.002446333333333,26,0xC0,0x00
0.002483000000000,26,0x4B,0x00
0.002519666666667,26,0x00,0x00
0.002556333333333,26,0x00,0x00
0.002613916666667,27,0x22,0x8E
0.002650333333333,27,0xD0,0x00
0.002687000000000,27,0xFC,0x00
0.002723666666667,27,0x8C,0x00
0.002760333333333,27,0x02,0x00
0.002818000000000,28,0x23,0x8E
0.002854416666667,28,0x99,0x00
0.002891000000000,28,0x00,0x00
0.002927666666667,28,0x39,0x00
0.002964333333333,28,0x21,0x00
0.003022000000000,29,0x24,0x8E
0.003058416666667,29,0xF9,0x00
0.003095083333333,29,0x96,0x00
0.003131750000000,29,0x8A,0x00
0.003168416666667,29,0xDB,0x00
0.003226000000000,30,0x25,0x8E
0.003262416666667,30,0x24,0x00
0.003299083333333,30,0x06,0x00
0.003335750000000,30,0x0F,0x00
0.003372416666667,30,0xB6,0x00
0.003430083333333,31,0x26,0x8E
0.003466500000000,31,0x00,0x00
0.003503166666667,31,0x00,0x00
0.003539833333333,31,0x00,0x00
0.003576500000000,31,0x00,0x00
0.003634083333333,32,0x27,0x8E
0.003670500000000,32,0x00,0x00
0.003707166666667,32,0x00,0x00
0.003743833333333,32,0x00,0x00
0.003780416666667,32,0x00,0x00
0.003838083333333,33,0x28,0x8E
0.003874500000000,33,0x00,0x00
0.003911083333333,33,0x00,0x00
0.003947750000000,33,0x00,0x00
0.003984416666667,33,0x00,0x00
0.004041833333333,34,0x29,0x8E
0.004078166666667,34,0x00,0x00
0.004114833333333,34,0x00,0x00
0.004151500000000,34,0x00,0x00
0.004188166666667,34,0x00,0x00
0.004245833333333,35,0x2A,0x8E
0.004282166666667,35,0x00,0x00
0.004318833333333,35,0x00,0x00
0.004355500000000,35,0x00,0x00
0.004392166666667,35,0x00,0x00
0.004449833333333,36,0x2B,0x8E
0.004486250000000,36,0x00,0x00
0.004522833333333,36,0x00,0x00
0.004559500000000,36,0x00,0x00
0.004596166666667,36,0x00,0x00
0.004653833333333,37,0x2C,0x8E
0.004690166666667,37,0x00,0x00
0.004726833333333,37,0x12,0x00
0.004763500000000,37,0x73,0x00
0.004800166666667,37,0x05,0x00
0.004857833333333,38,0x2D,0x8E
0.004894250000000,38,0x36,0x00
0.004930916666667,38,0xB4,0x00
0.004967583333333,38,0x80,0x00
0.005004166666667,38,0x00,0x00
0.005049333333333,39,0x2E,0x8E
0.005085750000000,39,0x41,0x00
0.005122416666667,39,0x20,0x00
0.005159083333333,39,0x08,0x00
0.005195750000000,39,0x04,0x00
0.005232416666667,39,0x81,0x00
0.005269083333333,39,0x20,0x00
0.005305750000000,39,0xCF,0x00
0.005342416666667,39,0xF7,0x00
0.005379083333333,39,0xFE,0x00
0.005415750000000,39,0xFF,0x00
0.005452416666667,39,0xFF,0x00
0.005492583333333,40,0x24,0x8E
0.005529000000000,40,0xFF,0x00
0.005565666666667,40,0x96,0x00
0.005602333333333,40,0x8A,0x00
0.005639000000000,40,0xDB,0x00
0.005679083333333,41,0x24,0x8E
0.005715500000000,41,0xF9,0x00
0.005752166666667,41,0x96,0x00
0.005788833333333,41,0x8A,0x00
0.005825500000000,41,0xDB,0x00
0.056932250000000,42,0x07,0x8E
0.056967916666667,42,0x00,0x8E
0.057006583333333,43,0x50,0x8E
